"RSQ";"Ort";"Platz";"Geschlecht";"SKM"
25;"Tokyo";"1";"W";"S_KM_FN"
23;"Tokyo";"1";"W";"S_KM_40"
21;"Tokyo";"1";"W";"S_KM_35"
16;"Tokyo";"1";"W";"S_KM_30"
16;"Tokyo";"1";"W";"S_KM_25"
15;"Tokyo";"1  -  3";"W";"S_KM_FN"
14;"Tokyo";"1  -  3";"W";"S_KM_40"
14;"Tokyo";"1";"W";"S_KM_10"
14;"Tokyo";"1  -  5";"W";"S_KM_FN"
14;"Tokyo";"1";"W";"S_KM_5"
13;"Tokyo";"1  -  5";"W";"S_KM_40"
13;"Tokyo";"1";"W";"S_KM_HM"
13;"Tokyo";"1  -  3";"W";"S_KM_35"
13;"Tokyo";"1  -  10";"W";"S_KM_FN"
13;"Tokyo";"1  -  5";"W";"S_KM_35"
13;"Tokyo";"1";"W";"S_KM_20"
12;"Tokyo";"1  -  10";"W";"S_KM_40"
12;"Tokyo";"1  -  10";"W";"S_KM_35"
12;"Tokyo";"1  -  5";"W";"S_KM_30"
12;"Tokyo";"1  -  10";"W";"S_KM_30"
11;"Tokyo";"1  -  5";"W";"S_KM_5"
11;"Tokyo";"1  -  5";"W";"S_KM_25"
11;"Tokyo";"1";"W";"S_KM_15"
11;"Tokyo";"1  -  3";"W";"S_KM_30"
11;"Tokyo";"1  -  10";"W";"S_KM_5"
11;"Tokyo";"1  -  10";"W";"S_KM_25"
11;"Tokyo";"1  -  5";"W";"S_KM_10"
10;"Tokyo";"1  -  5";"W";"S_KM_HM"
10;"Tokyo";"1  -  10";"W";"S_KM_10"
10;"Tokyo";"1  -  10";"W";"S_KM_HM"
10;"Tokyo";"1  -  5";"W";"S_KM_20"
10;"Tokyo";"1  -  10";"W";"S_KM_20"
9;"Tokyo";"1  -  3";"W";"S_KM_25"
9;"Tokyo";"1  -  5";"W";"S_KM_15"
9;"Tokyo";"1  -  10";"W";"S_KM_15"
9;"Tokyo";"1  -  3";"W";"S_KM_5"
8;"Tokyo";"1  -  3";"W";"S_KM_HM"
8;"Tokyo";"1  -  3";"W";"S_KM_10"
8;"Tokyo";"1  -  3";"W";"S_KM_20"
7;"Tokyo";"1  -  3";"W";"S_KM_15"
53;"Tokyo";"1";"M";"S_KM_35"
46;"Tokyo";"1";"M";"S_KM_30"
46;"Tokyo";"1  -  3";"M";"S_KM_35"
45;"Tokyo";"1";"M";"S_KM_40"
45;"Tokyo";"1  -  3";"M";"S_KM_30"
44;"Tokyo";"1  -  5";"M";"S_KM_30"
43;"Tokyo";"1";"M";"S_KM_FN"
43;"Tokyo";"1  -  5";"M";"S_KM_35"
42;"Tokyo";"1  -  5";"M";"S_KM_HM"
42;"Tokyo";"1  -  5";"M";"S_KM_20"
42;"Tokyo";"1  -  5";"M";"S_KM_15"
41;"Tokyo";"1  -  5";"M";"S_KM_25"
41;"Tokyo";"1  -  3";"M";"S_KM_HM"
41;"Tokyo";"1";"M";"S_KM_15"
41;"Tokyo";"1  -  3";"M";"S_KM_15"
41;"Tokyo";"1  -  3";"M";"S_KM_20"
40;"Tokyo";"1";"M";"S_KM_HM"
40;"Tokyo";"1  -  3";"M";"S_KM_25"
40;"Tokyo";"1";"M";"S_KM_25"
40;"Tokyo";"1";"M";"S_KM_20"
39;"Tokyo";"1  -  3";"M";"S_KM_40"
36;"Tokyo";"1  -  3";"M";"S_KM_FN"
33;"Tokyo";"1  -  5";"M";"S_KM_40"
33;"Tokyo";"1  -  5";"M";"S_KM_10"
32;"Tokyo";"1";"M";"S_KM_10"
32;"Tokyo";"1  -  3";"M";"S_KM_10"
31;"Tokyo";"1  -  10";"M";"S_KM_15"
29;"Tokyo";"1  -  10";"M";"S_KM_20"
29;"Tokyo";"1  -  10";"M";"S_KM_HM"
28;"Tokyo";"1  -  5";"M";"S_KM_FN"
28;"Tokyo";"1  -  10";"M";"S_KM_10"
26;"Tokyo";"1  -  10";"M";"S_KM_25"
23;"Tokyo";"1  -  10";"M";"S_KM_30"
23;"Tokyo";"1";"M";"S_KM_5"
23;"Tokyo";"1  -  5";"M";"S_KM_5"
23;"Tokyo";"1  -  3";"M";"S_KM_5"
20;"Tokyo";"1  -  10";"M";"S_KM_5"
20;"Tokyo";"1  -  10";"M";"S_KM_35"
17;"Tokyo";"1  -  10";"M";"S_KM_40"
17;"Tokyo";"1  -  10";"M";"S_KM_FN"
21;"NewYork";"1";"W";"S_KM_30"
19;"NewYork";"1";"W";"S_KM_35"
18;"NewYork";"1  -  3";"W";"S_KM_30"
15;"NewYork";"1  -  3";"W";"S_KM_25"
14;"NewYork";"1";"W";"S_KM_25"
13;"NewYork";"1  -  5";"W";"S_KM_30"
12;"NewYork";"1  -  3";"W";"S_KM_HM"
12;"NewYork";"1  -  3";"W";"S_KM_35"
12;"NewYork";"1";"W";"S_KM_40"
11;"NewYork";"1  -  5";"W";"S_KM_25"
11;"NewYork";"1  -  3";"W";"S_KM_20"
11;"NewYork";"1";"W";"S_KM_FN"
9;"NewYork";"1  -  3";"W";"S_KM_15"
9;"NewYork";"1";"W";"S_KM_HM"
9;"NewYork";"1  -  5";"W";"S_KM_HM"
9;"NewYork";"1  -  3";"W";"S_KM_5"
8;"NewYork";"1";"W";"S_KM_20"
8;"NewYork";"1  -  5";"W";"S_KM_20"
7;"NewYork";"1  -  3";"W";"S_KM_40"
7;"NewYork";"1  -  5";"W";"S_KM_35"
7;"NewYork";"1  -  3";"W";"S_KM_10"
7;"NewYork";"1  -  3";"W";"S_KM_FN"
7;"NewYork";"1  -  5";"W";"S_KM_15"
6;"NewYork";"1  -  5";"W";"S_KM_5"
6;"NewYork";"1";"W";"S_KM_15"
5;"NewYork";"1";"W";"S_KM_5"
5;"NewYork";"1  -  10";"W";"S_KM_5"
5;"NewYork";"1  -  5";"W";"S_KM_10"
5;"NewYork";"1  -  10";"W";"S_KM_15"
4;"NewYork";"1  -  10";"W";"S_KM_HM"
4;"NewYork";"1  -  10";"W";"S_KM_FN"
4;"NewYork";"1";"W";"S_KM_10"
4;"NewYork";"1  -  10";"W";"S_KM_10"
4;"NewYork";"1  -  10";"W";"S_KM_20"
4;"NewYork";"1  -  10";"W";"S_KM_40"
3;"NewYork";"1  -  10";"W";"S_KM_25"
3;"NewYork";"1  -  5";"W";"S_KM_40"
3;"NewYork";"1  -  5";"W";"S_KM_FN"
3;"NewYork";"1  -  10";"W";"S_KM_30"
2;"NewYork";"1  -  10";"W";"S_KM_35"
65;"NewYork";"1  -  3";"M";"S_KM_15"
64;"NewYork";"1";"M";"S_KM_15"
63;"NewYork";"1  -  5";"M";"S_KM_15"
55;"NewYork";"1  -  10";"M";"S_KM_15"
54;"NewYork";"1";"M";"S_KM_10"
52;"NewYork";"1  -  5";"M";"S_KM_10"
52;"NewYork";"1  -  3";"M";"S_KM_10"
51;"NewYork";"1  -  10";"M";"S_KM_10"
48;"NewYork";"1  -  3";"M";"S_KM_20"
47;"NewYork";"1  -  5";"M";"S_KM_20"
46;"NewYork";"1";"M";"S_KM_20"
45;"NewYork";"1  -  5";"M";"S_KM_25"
45;"NewYork";"1  -  3";"M";"S_KM_25"
44;"NewYork";"1  -  3";"M";"S_KM_HM"
44;"NewYork";"1";"M";"S_KM_5"
43;"NewYork";"1  -  5";"M";"S_KM_HM"
41;"NewYork";"1";"M";"S_KM_25"
41;"NewYork";"1  -  10";"M";"S_KM_20"
41;"NewYork";"1";"M";"S_KM_HM"
40;"NewYork";"1  -  10";"M";"S_KM_5"
39;"NewYork";"1  -  5";"M";"S_KM_30"
38;"NewYork";"1  -  10";"M";"S_KM_25"
38;"NewYork";"1  -  5";"M";"S_KM_5"
38;"NewYork";"1  -  3";"M";"S_KM_30"
36;"NewYork";"1  -  3";"M";"S_KM_5"
36;"NewYork";"1  -  10";"M";"S_KM_HM"
34;"NewYork";"1  -  5";"M";"S_KM_35"
32;"NewYork";"1";"M";"S_KM_30"
32;"NewYork";"1";"M";"S_KM_40"
31;"NewYork";"1  -  10";"M";"S_KM_30"
31;"NewYork";"1  -  3";"M";"S_KM_35"
30;"NewYork";"1  -  3";"M";"S_KM_40"
30;"NewYork";"1";"M";"S_KM_FN"
28;"NewYork";"1  -  5";"M";"S_KM_40"
28;"NewYork";"1";"M";"S_KM_35"
27;"NewYork";"1  -  3";"M";"S_KM_FN"
24;"NewYork";"1  -  10";"M";"S_KM_35"
