Jahr;Ort;Datum;WND_SR_MEAN;WND_SR_MIN;WND_SR_MAX;WND_SR_MEDIAN;TMP_MEAN;TMP_MIN;TMP_MAX;TMP_MEDIAN;DEW_MEAN;DEW_MIN;DEW_MAX;DEW_MEDIAN
2007;Berlin;2007-09-30;5.533333333333334;3.6;6.7;5.7;14.333333333333334;13.0;16.0;14.0;10.333333333333334;10.0;11.0;10.0
2007;Chicago;2007-10-07;2.6;2.1;3.1;2.6;24.575;22.2;26.1;25.0;19.0;18.3;19.4;19.15
2007;NewYork;2007-11-04;3.9499999999999997;1.5;5.7;4.35;12.383333333333333;11.0;13.3;12.5;1.5666666666666667;0.6;2.0;1.85
2007;Tokyo;2007-02-18;6.6049999999999995;2.6;8.7;7.2;5.805;5.0;6.0;6.0;4.535;2.9;5.0;5.0
2008;Berlin;2008-09-28;3.5583333333333336;3.1;4.1;3.6;12.75;10.0;15.0;13.0;9.166666666666666;8.0;10.0;9.5
2008;Chicago;2008-10-12;3.1;2.1;3.6;3.35;19.725;17.8;21.1;20.0;12.925;12.8;13.3;12.8
2008;NewYork;2008-11-02;4.466666666666667;3.1;6.2;4.1;7.3999999999999995;6.0;8.9;7.4;-4.933333333333334;-5.6;-4.0;-5.0
2008;Tokyo;2008-02-17;4.63125;2.6;7.7;4.35;5.375;3.0;7.0;5.2;-11.1625;-14.5;-8.0;-11.0
2009;Berlin;2009-09-20;1.1333333333333333;0.5;2.1;1.0;18.166666666666668;14.0;22.0;18.5;10.583333333333334;9.0;13.0;10.5
2009;Chicago;2009-10-11;3.7249999999999996;3.1;4.1;3.8499999999999996;1.375;0.0;2.2;1.6500000000000001;-6.0;-6.7;-5.0;-6.15
2009;NewYork;2009-11-01;4.483333333333333;2.1;6.2;4.65;11.950000000000001;11.0;12.8;12.0;2.716666666666667;1.7;4.0;2.8
2009;Tokyo;2009-03-22;10.450000000000001;6.7;13.9;10.3;15.64375;15.0;16.8;15.95;10.8625;9.8;12.0;11.0
2010;Berlin;2010-09-26;3.391666666666667;3.1;4.1;3.1;11.083333333333334;11.0;12.0;11.0;10.916666666666666;10.0;11.0;11.0
2010;Chicago;2010-10-10;1.275;0.0;2.1;1.5;19.45;16.1;21.7;20.0;10.15;10.0;10.6;10.0
2010;London;2010-04-25;3.225;2.1;4.1;3.1;13.416666666666666;11.0;15.0;14.0;9.666666666666666;7.0;11.0;10.0
2010;NewYork;2010-11-07;3.4166666666666665;0.0;5.7;4.1;6.45;4.0;8.9;6.5;-3.1666666666666665;-3.9;-2.8;-3.0
2010;Tokyo;2010-02-28;5.842105263157895;2.6;9.3;5.1;4.0;3.0;5.0;4.0;1.726315789473684;0.2;3.0;2.0
2011;Berlin;2011-09-25;2.475;2.1;3.1;2.6;15.583333333333334;12.0;18.0;15.5;9.833333333333334;9.0;11.0;10.0
2011;Chicago;2011-10-09;0.375;0.0;1.5;0.0;18.900000000000002;15.6;21.1;19.450000000000003;10.15;9.4;10.6;10.3
2011;London;2011-04-17;1.425;0.0;3.6;1.55;15.916666666666666;12.0;18.0;16.5;7.666666666666667;6.0;9.0;7.5
2011;NewYork;2011-11-06;2.55;0.0;5.1;2.3;9.0;6.7;11.7;9.0;0.9666666666666667;-0.6;2.0;1.35
2011;Tokyo;2011-02-27;2.2266666666666666;1.0;4.1;2.1;8.806666666666667;6.0;13.0;8.0;-1.8466666666666667;-5.0;2.0;-2.0
2012;Berlin;2012-09-30;4.95;4.1;5.7;5.1;12.5;10.0;15.0;12.5;7.416666666666667;7.0;8.0;7.0
2012;Chicago;2012-10-07;3.5999999999999996;2.6;4.6;3.6;6.4;3.9;7.8;6.949999999999999;-2.5;-2.8;-2.2;-2.5
2012;London;2012-04-22;4.816666666666666;4.1;5.7;4.85;11.833333333333334;10.0;14.0;11.5;4.583333333333333;3.0;5.0;5.0
2012;Tokyo;2012-02-26;1.98;0.5;4.6;1.5;6.04;5.5;6.8;6.0;-3.066666666666667;-6.0;-1.9;-2.8
2013;Berlin;2013-09-29;5.133333333333333;3.6;6.7;5.1;9.666666666666666;8.0;12.0;9.5;6.666666666666667;6.0;7.0;7.0
2013;Chicago;2013-10-13;3.4499999999999997;1.5;4.1;4.1;12.225;8.9;13.9;13.05;4.275;3.9;4.4;4.4
2013;London;2013-04-21;2.15;1.5;2.6;2.35;10.166666666666666;7.0;13.0;10.5;-0.5;-1.0;1.0;-1.0
2013;NewYork;2013-11-03;5.333333333333333;2.1;8.8;5.4;8.983333333333334;7.8;10.4;9.0;-0.15;-1.1;1.0;-0.3
2013;Tokyo;2013-02-24;7.7875000000000005;5.1;9.8;8.2;6.2125;5.0;8.0;6.4;-9.05625;-17.0;-5.0;-8.5
2014;Berlin;2014-09-28;1.3499999999999999;0.5;2.6;1.25;14.666666666666666;11.0;18.0;15.0;9.5;8.0;11.0;9.5
2014;Chicago;2014-10-12;4.225;3.6;4.6;4.35;10.3;7.8;11.7;10.85;3.4749999999999996;2.8;3.9;3.5999999999999996
2014;London;2014-04-13;4.575;3.6;5.7;4.35;12.166666666666666;11.0;15.0;12.0;1.9166666666666667;1.0;2.0;2.0
2014;NewYork;2014-11-02;7.1;2.1;10.8;8.2;7.033333333333334;6.7;7.2;7.2;-2.5833333333333335;-3.3;-1.7;-2.5
2014;Tokyo;2014-02-23;2.9266666666666667;1.5;4.6;2.6;4.96;4.0;6.0;5.0;-6.633333333333334;-9.0;-4.9;-6.5
2015;Berlin;2015-09-27;2.7583333333333333;1.5;4.1;2.85;13.166666666666666;10.0;15.0;14.0;8.666666666666666;8.0;10.0;9.0
2015;Chicago;2015-10-11;5.65;5.1;6.2;5.65;15.0;12.2;16.7;15.55;7.625;6.7;8.3;7.75
2015;London;2015-04-26;3.4333333333333336;3.1;4.1;3.6;8.583333333333334;8.0;9.0;9.0;6.666666666666667;6.0;7.0;7.0
2015;NewYork;2015-11-01;4.8999999999999995;2.6;8.2;4.4;14.9;14.4;15.6;15.0;8.683333333333334;7.8;9.4;8.600000000000001
2015;Tokyo;2015-02-22;2.6350000000000002;1.5;4.1;2.6;5.529999999999999;4.6;6.1;6.0;2.94;1.0;4.0;3.0
2016;Berlin;2016-09-25;2.891666666666667;2.1;4.1;2.85;15.833333333333334;12.0;18.0;16.0;8.916666666666666;8.0;10.0;9.0
2016;Chicago;2016-10-09;4.1;3.6;4.6;4.1;12.225;10.6;13.3;12.5;6.825;6.7;7.2;6.7
2016;London;2016-04-24;4.691666666666666;3.1;5.7;4.85;7.416666666666667;5.0;9.0;7.5;-0.5833333333333334;-3.0;2.0;-1.0
2016;NewYork;2016-11-06;5.5600000000000005;2.1;8.2;6.7;13.4;12.2;14.4;13.3;2.2333333333333334;1.1;3.9;2.25
2016;Tokyo;2016-02-28;2.6199999999999997;1.5;4.6;2.6;11.013333333333332;9.0;13.8;11.0;-0.49333333333333335;-4.6;1.0;0.0
2017;Berlin;2017-09-24;3.141666666666667;2.1;4.6;2.85;14.416666666666666;14.0;15.0;14.0;14.0;14.0;14.0;14.0
2017;Chicago;2017-10-08;2.825;1.5;4.6;2.6;16.525;13.9;18.3;16.95;12.65;12.2;12.8;12.8
2017;London;2017-04-23;3.1;2.1;4.1;3.1;12.166666666666666;10.0;14.0;12.5;3.5;1.0;4.0;4.0
2017;NewYork;2017-11-05;3.0454545454545454;1.5;4.1;3.1;13.863636363636363;13.3;14.4;13.9;10.754545454545454;9.4;12.2;10.6
2017;Tokyo;2017-02-26;2.6199999999999997;1.0;4.6;2.6;9.593333333333334;8.0;12.6;10.0;-1.6933333333333331;-4.6;1.0;-2.0
2018;Berlin;2018-09-16;2.7416666666666667;1.0;3.6;3.1;17.583333333333332;15.0;20.0;17.5;10.083333333333334;9.0;11.0;10.0
2018;Chicago;2018-10-07;3.6;2.6;4.6;4.1;15.0;15.0;15.0;15.0;13.24;13.0;13.3;13.3
2018;London;2018-04-22;5.4750000000000005;4.1;7.2;5.1;21.583333333333332;20.0;23.0;21.5;12.166666666666666;10.0;13.0;13.0
2018;NewYork;2018-11-04;1.925;1.5;2.6;1.8;12.700000000000001;12.2;13.3;12.8;-0.7285714285714285;-1.7;0.0;-0.6
2018;Tokyo;2018-02-25;3.76;1.0;5.7;4.1;6.486666666666666;6.0;7.2;6.0;-2.433333333333333;-6.0;0.0;-2.0
2019;Berlin;2019-09-29;6.216666666666666;4.6;7.7;6.2;15.0;15.0;15.0;15.0;11.166666666666666;11.0;12.0;11.0
2019;Chicago;2019-10-13;6.8;4.6;7.7;7.45;7.1;5.6;7.8;7.5;-0.3;-0.6;0.0;-0.3
2019;London;2019-04-28;6.116666666666667;5.7;6.2;6.2;11.583333333333334;11.0;12.0;12.0;4.583333333333333;4.0;5.0;5.0
2019;NewYork;2019-11-03;4.3;1.5;6.7;4.65;9.15;7.2;11.1;9.15;-0.65;-1.1;0.6;-0.8500000000000001
2019;Tokyo;2019-03-03;4.792857142857144;2.6;7.2;4.65;5.935714285714285;4.4;7.0;6.0;2.3785714285714286;0.0;4.8;2.5
